,index,Date.time,Wind.speed.me,Wind.dir.sin.me,Wind.dir.cos.me,Nacelle.ambient.temp.me,Power.me,turbine
0,0,2017-09-25 00:00:00,5.17112922668457,0.4803017041959441,-0.8771033422273978,14.902499198913574,200.12152099609372,1
5,5,2017-09-25 00:50:00,5.350329875946045,0.36040385161174976,-0.9327963677799221,14.699999809265137,225.1927795410156,1
20,24,2017-09-25 04:00:00,2.509902000427246,0.9957329670955114,0.09228140787379265,14.8149995803833,-1.2190475463867188,1
24,28,2017-09-25 04:40:00,3.095932722091675,0.9659279974770323,0.25881094198277294,14.460000038146973,47.920448303222656,1
36,43,2017-09-25 07:10:00,3.616278171539306,0.9961659087571412,-0.08748418274213396,14.397500038146973,70.1229019165039,1
45,52,2017-09-25 08:40:00,3.641868352890015,0.9998011486454875,-0.019941493604132287,15.120000839233398,67.20230865478516,1
76,91,2017-09-25 15:10:00,2.8095483779907227,0.821819040899028,0.5697485972038911,17.404998779296875,-2.1500051021575928,1
100,131,2017-09-25 21:50:00,4.249297618865967,0.995899005389456,-0.09047193523017187,16.11250114440918,111.05504608154295,1
104,137,2017-09-25 22:50:00,3.217313051223755,0.9734746706678105,-0.22879481106047395,15.600000381469728,30.208179473876957,1
126,161,2017-09-26 02:50:00,3.1522581577301025,0.9678450084634129,0.25154729096624384,13.670000076293944,39.10447692871094,1
127,162,2017-09-26 03:00:00,2.4753189086914062,0.8645792336039281,0.5024965162275699,13.44499969482422,4.048469066619873,1
130,167,2017-09-26 03:50:00,1.9574304819107056,0.8913862465541819,0.45324448088647185,13.145000457763672,-3.173258066177368,1
133,170,2017-09-26 04:20:00,2.9307358264923096,0.9330463184191768,0.35975626149439033,13.05500030517578,-1.7242720127105713,1
168,217,2017-09-26 12:10:00,2.1397781372070312,0.957187873246119,0.28946739939166155,17.600000381469727,-1.4233779907226562,1
188,243,2017-09-26 16:30:00,4.202058792114258,0.9870286027679088,0.1605445026091823,17.87368392944336,79.42098236083984,1
202,257,2017-09-26 18:50:00,4.985268592834473,0.9926383808084638,0.12111583276331489,16.732500076293945,168.57472229003906,1
203,258,2017-09-26 19:00:00,4.594151020050049,0.9911050786054317,0.13308164096719358,16.454999923706055,166.74525451660156,1
208,263,2017-09-26 19:50:00,4.361174583435059,0.9972308689929434,-0.07436796304578211,16.052499771118164,120.1427001953125,1
212,267,2017-09-26 20:30:00,4.764955520629883,0.9854331044874748,-0.17006350749110616,15.44499969482422,179.2657012939453,1
214,269,2017-09-26 20:50:00,5.148544788360596,0.9504262605939943,-0.31095003324218656,15.612500190734863,225.5924224853516,1
221,276,2017-09-26 22:00:00,5.027519702911377,0.7303066691748029,-0.6831194397459385,14.9975004196167,229.3762664794922,1
226,281,2017-09-26 22:50:00,6.51547384262085,0.824270594099704,-0.5661960682506731,15.037500381469728,418.5666809082031,1
230,285,2017-09-26 23:30:00,5.95973539352417,0.7789406132502159,-0.6270976965588198,14.47499942779541,358.4214782714844,1
248,303,2017-09-27 02:30:00,3.910323858261109,0.8382599217978312,-0.5452708533449169,13.859999656677246,101.63932800292967,1
262,317,2017-09-27 04:50:00,6.123654842376709,0.6934892502457656,-0.720466973423186,13.58750057220459,418.7593383789063,1
283,338,2017-09-27 08:20:00,5.315502643585205,0.6769583783490922,-0.736021299951956,14.095000267028809,265.5983581542969,1
294,349,2017-09-27 10:10:00,6.102991104125977,0.7503731447298884,-0.6610144806796429,15.017499923706056,368.6146545410156,1
299,354,2017-09-27 11:00:00,6.803060531616211,0.7760421408869631,-0.6306810569278095,15.765000343322754,487.39947509765625,1
303,358,2017-09-27 11:40:00,5.835492134094238,0.7422688702018986,-0.6701021745444474,16.767499923706055,358.1973571777344,1
308,363,2017-09-27 12:30:00,5.354189395904541,0.7742177118892006,-0.632919374483868,17.469999313354492,240.34837341308597,1
322,377,2017-09-27 14:50:00,7.510732173919678,0.16147535548164826,-0.9868767448734798,19.21000099182129,700.33642578125,1
336,391,2017-09-27 17:10:00,7.127862453460693,0.14996017294195294,-0.9886920382663247,18.20499992370605,609.5935668945312,1
353,408,2017-09-27 20:00:00,7.729230880737305,0.18212528270946335,-0.9832753334636225,15.175000190734863,843.4034423828125,1
372,427,2017-09-27 23:10:00,6.664210796356201,0.4228383735726606,-0.9062051146591632,14.47499942779541,560.2075805664062,1
380,435,2017-09-28 00:30:00,6.4989914894104,0.34219456536425885,-0.9396291180221938,14.899999618530272,542.8848266601562,1
381,436,2017-09-28 00:40:00,6.944969177246094,0.330888424917804,-0.9436698841519818,14.917499542236328,577.5836791992188,1
382,437,2017-09-28 00:50:00,6.607059478759766,0.32062025558808643,-0.9472078186473284,14.982500076293944,536.479736328125,1
385,440,2017-09-28 01:20:00,5.571892738342285,-0.07005109581784214,-0.9975434045567739,15.020000457763672,368.0015563964844,1
390,445,2017-09-28 02:10:00,5.171965599060059,-0.013870097146342608,-0.9999038055758919,15.335000038146973,239.7715759277344,1
400,455,2017-09-28 03:50:00,4.208030223846436,-0.3063910629102819,-0.9519057288243976,15.40999984741211,115.09603118896484,1
418,475,2017-09-28 07:10:00,3.663499116897583,-0.9106898656263986,0.4130907511012223,15.732500076293944,70.12288665771484,1
434,495,2017-09-28 10:30:00,3.4242258071899414,-0.9392829753009854,0.3431435447589368,16.74473762512207,82.79806518554688,1
445,513,2017-09-28 13:30:00,5.376549243927002,-0.8237721498727859,-0.5669210219192513,18.4424991607666,196.36062622070312,1
461,529,2017-09-28 16:10:00,5.428716659545898,-0.4667124604049263,-0.8844091130821641,18.342498779296875,274.4502258300781,1
462,530,2017-09-28 16:20:00,4.967612266540527,-0.3423401999849782,-0.9395760679552482,18.200000762939453,191.834716796875,1
464,532,2017-09-28 16:40:00,4.812537670135498,-0.3563888173323703,-0.9343377391930792,17.969999313354492,172.0070343017578,1
486,554,2017-09-28 20:20:00,6.798837661743164,-0.0398926192999291,-0.9992039726329108,15.05500030517578,557.6375122070312,1
491,559,2017-09-28 21:10:00,5.84998083114624,-0.00026498452536116967,-0.9999999648916,14.144999504089355,369.0792541503906,1
493,561,2017-09-28 21:30:00,6.877340793609619,-0.07231435275060007,-0.9973818899429956,13.862500190734863,638.9352416992188,1
500,568,2017-09-28 22:40:00,6.301232814788818,0.14994753430810218,-0.9886939551524124,13.385000228881836,427.34710693359375,1
505,573,2017-09-28 23:30:00,6.1831536293029785,0.22302312043428865,-0.9748131553029805,13.510000228881836,418.3634033203125,1
522,590,2017-09-29 02:20:00,5.725605487823486,0.15161825370629842,-0.9884391256638178,14.59000015258789,382.2138671875,1
527,595,2017-09-29 03:10:00,7.354355335235596,0.01899864705679323,-0.9998195094165804,15.1225004196167,752.520751953125,1
533,601,2017-09-29 04:10:00,6.2749104499816895,-0.11792906856420676,-0.9930220213004234,15.869999885559082,516.41357421875,1
537,605,2017-09-29 04:50:00,6.289744377136231,-0.034389807512635324,-0.9994084956309126,16.0,505.97174072265625,1
544,612,2017-09-29 06:00:00,7.46090841293335,0.11333551485922047,-0.9935567729483783,15.855000495910645,843.2108154296875,1
545,613,2017-09-29 06:10:00,7.509397029876709,-0.06066735010742306,-0.9981580399069795,15.949999809265137,798.2280883789062,1
546,614,2017-09-29 06:20:00,7.497624397277832,-0.06459178545112651,-0.9979117702744245,16.012500762939453,902.7467651367188,1
548,616,2017-09-29 06:40:00,7.791811943054199,-0.2677926533082177,-0.9634765668318793,16.18000030517578,912.5526123046876,1
556,624,2017-09-29 08:00:00,8.635555267333984,-0.5375599042641008,-0.8432255625439559,16.114999771118164,1143.997314453125,1
560,628,2017-09-29 08:40:00,5.211634635925293,-0.6564681508542433,-0.7543537412341842,16.155000686645508,247.6049346923828,1
562,630,2017-09-29 09:00:00,5.6867194175720215,-0.38443408494902953,-0.9231524437108978,16.200000762939453,269.3160400390625,1
564,632,2017-09-29 09:20:00,5.5100603103637695,-0.38618433871432695,-0.922421626227279,16.229999542236328,274.8599853515625,1
571,639,2017-09-29 10:30:00,5.873338222503662,-0.5931913452453146,-0.8050615056789475,16.334999084472656,362.5190124511719,1
572,640,2017-09-29 10:40:00,6.833597183227539,-0.5696632373077195,-0.8218782124257151,16.137500762939453,605.3311767578125,1
579,647,2017-09-29 11:50:00,6.159558773040772,-0.9760633818965848,-0.2174862628319354,16.110000610351562,429.3738098144531,1
580,648,2017-09-29 12:00:00,6.297204971313477,-0.9633630142107166,-0.2682008628823606,16.127500534057617,457.1956176757813,1
581,649,2017-09-29 12:10:00,7.131251335144043,-0.9745762170555908,-0.22405623657826162,16.1200008392334,613.2957763671875,1
589,657,2017-09-29 13:30:00,6.892213344573975,-0.9252453666075376,-0.37936922855087146,16.862499237060547,620.2413330078125,1
592,660,2017-09-29 14:00:00,7.527585506439209,-0.8989989527531613,-0.4379507768559376,17.130001068115234,724.3187866210938,1
601,669,2017-09-29 15:30:00,8.495826721191406,-0.8788979197965358,-0.4770099019698881,16.79749870300293,1061.91259765625,1
609,677,2017-09-29 16:50:00,6.52290153503418,-0.7533004825457864,-0.6576765033025624,16.149999618530273,467.427734375,1
623,691,2017-09-29 19:10:00,6.417903423309326,-0.6159082404378863,-0.7878178973345978,14.03499984741211,494.5733337402344,1
625,693,2017-09-29 19:30:00,6.750114440917969,-0.7856979722812863,-0.6186102944124636,13.660000801086426,551.8983154296875,1
631,699,2017-09-29 20:30:00,7.955115795135498,-0.9078941547039228,-0.41919947978790423,13.432499885559082,932.718017578125,1
639,707,2017-09-29 21:50:00,7.4809489250183105,-0.9346196199277375,-0.35564893651764445,12.595000267028809,747.1983032226562,1
642,710,2017-09-29 22:20:00,8.348353385925293,-0.9441534489716293,-0.3295060921970593,12.324999809265137,929.9281616210938,1
646,714,2017-09-29 23:00:00,6.756583213806152,-0.8901068205620342,-0.45575195884268754,12.112500190734863,484.1796569824219,1
650,718,2017-09-29 23:40:00,6.708547115325928,-0.8050596099579052,-0.5931939180524575,11.850000381469728,515.0679931640625,1
655,723,2017-09-30 00:30:00,5.587495803833008,-0.730544583691859,-0.6828650022065037,11.727499961853027,278.59149169921875,1
672,740,2017-09-30 03:20:00,7.047725677490234,-0.7824297393359556,-0.6227388722431486,11.517499923706056,604.6141357421875,1
680,748,2017-09-30 04:40:00,4.324500560760498,-0.4774826435658115,-0.8786411810821322,11.327500343322754,108.18946075439452,1
689,757,2017-09-30 06:10:00,5.657476902008057,-0.4457074901888325,-0.8951786599274872,10.597500801086426,288.3253173828125,1
696,764,2017-09-30 07:20:00,6.187685966491699,-0.4492287773672634,-0.8934167591807944,10.989999771118164,406.1983947753906,1
706,774,2017-09-30 09:00:00,5.720702648162842,-0.5957117110334301,-0.8031983300142145,13.06999969482422,361.5021362304688,1
720,788,2017-09-30 11:20:00,7.234859466552734,-0.5808250143825753,-0.8140284409450822,15.140000343322754,670.385986328125,1
736,804,2017-09-30 14:00:00,7.602077960968018,-0.5287086269168796,-0.8488033858460202,15.97249984741211,758.5134887695312,1
739,807,2017-09-30 14:30:00,5.821413040161133,-0.538360683348316,-0.84271452736068,16.00749969482422,341.5863037109375,1
743,811,2017-09-30 15:10:00,5.477606296539307,-0.6020583120074785,-0.7984521206326061,15.602499961853027,259.03057861328125,1
745,813,2017-09-30 15:30:00,6.989567756652832,-0.596197593329701,-0.8028377356028256,15.342499732971191,640.4921264648438,1
761,829,2017-09-30 18:10:00,6.223067760467529,-0.1544987373668782,-0.9879929858820053,14.922499656677246,471.4889831542969,1
767,835,2017-09-30 19:10:00,7.317795276641846,-0.16812206568533292,-0.9857661847668019,14.114999771118164,598.1685180664062,1
779,847,2017-09-30 21:10:00,7.249523162841797,0.03015492844729604,-0.9995452367403581,13.2524995803833,677.4003295898438,1
782,850,2017-09-30 21:40:00,6.942960262298584,0.13323367301576308,-0.9910846524766331,12.989999771118164,653.5679321289062,1
791,859,2017-09-30 23:10:00,8.259391784667969,0.24178054528905601,-0.9703309579312239,13.300000190734863,982.9165649414062,1
795,863,2017-09-30 23:50:00,7.893859386444092,0.22939921292378718,-0.9733324206610745,13.40999984741211,986.4208374023438,1
799,867,2017-10-01 00:30:00,7.912113666534424,-0.03570034242553881,-0.9993625395974672,13.494999885559082,834.8045043945312,1
800,868,2017-10-01 00:40:00,7.7768168449401855,-0.02253322921513728,-0.9997460945565819,13.5,930.3544311523438,1
810,878,2017-10-01 02:20:00,7.65463399887085,-0.010537933387555248,-0.9999444744384157,13.800000190734863,837.832275390625,1
817,885,2017-10-01 03:30:00,7.681147575378418,0.024998086747992823,-0.9996874990010327,13.800000190734863,759.4956665039062,1
829,897,2017-10-01 05:30:00,6.097153186798096,-0.17732686953829768,-0.9841520112969071,14.282500267028809,420.6495971679688,1
837,905,2017-10-01 06:50:00,6.064993858337402,-0.010366168880463687,-0.9999462698279051,14.529999732971191,364.2236633300781,1
844,912,2017-10-01 08:00:00,6.923676490783691,-0.32607650535550886,-0.9453433834618714,14.824999809265137,573.6958618164062,1
858,926,2017-10-01 10:20:00,8.798818588256836,-0.4986113878879341,-0.8668256363701227,15.989999771118164,1296.9256591796875,1
867,935,2017-10-01 11:50:00,10.04908847808838,-0.20358386748537027,-0.9790575105169763,16.309999465942383,1696.7978515625,1
872,940,2017-10-01 12:40:00,9.441658973693848,-0.17767832833405958,-0.9840886198104387,16.7549991607666,1434.08056640625,1
884,952,2017-10-01 14:40:00,9.956478118896484,-0.3617389807027368,-0.932279416183874,16.70250129699707,1727.992431640625,1
904,972,2017-10-01 18:00:00,10.62867832183838,-0.584299159517428,-0.8115383491784152,17.440000534057617,1885.4686279296875,1
911,979,2017-10-01 19:10:00,10.330052375793455,-0.5944579331425299,-0.8041267099928415,16.864999771118164,1716.00390625,1
913,981,2017-10-01 19:30:00,10.48137092590332,-0.6821578615106693,-0.7312049315883958,16.387500762939453,1692.322021484375,1
918,986,2017-10-01 20:20:00,10.86997890472412,-0.7864964986883712,-0.6175947356891354,15.597369194030762,1965.299072265625,1
924,992,2017-10-01 21:20:00,9.835823059082031,-0.7517509498803978,-0.659447124001553,15.300000190734863,1555.463134765625,1
929,997,2017-10-01 22:10:00,9.533317565917969,-0.7400214856439157,-0.6725832296343495,15.0600004196167,1589.1392822265625,1
935,1003,2017-10-01 23:10:00,11.246601104736328,-0.89662123582867,-0.4427983282049159,15.0024995803833,2049.8896484375,1
941,1009,2017-10-02 00:10:00,10.915752410888672,-0.8975582503773462,-0.4408958915430684,14.600000381469728,1949.5123291015625,1
